run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
1,1,0,0,1,1,1,1,0,16,16,16,419.447,NaN,NaN,12.8103,12.2149,2985,595,99.2152,0.0450,0.0010,22.0406,27.2470,285.9560,288.5290,0.1870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0271,NaN,NaN,7.11824,NaN,NaN,0.0089563,NaN,NaN,426.575,NaN,NaN
2,1,0,0,1,1,1,1,0,16,16,16,419.384,NaN,NaN,13.1869,12.2241,2987,596,99.2205,0.0450,0.0010,22.0407,27.2440,285.9960,288.5650,0.1840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0284,NaN,NaN,7.19441,NaN,NaN,0.00897949,NaN,NaN,426.588,NaN,NaN
3,1,0,0,1,1,1,1,0,16,16,16,419.111,NaN,NaN,14.0043,12.267,2986,701,99.2100,0.0450,0.0010,22.058,27.2240,286.2150,288.9410,0.1890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0446,NaN,NaN,7.67208,NaN,NaN,0.00929525,NaN,NaN,426.792,NaN,NaN
1,0,1,0,1,1,1,1,0,16,16,16,NaN,786.374,NaN,41.1282,12.6719,6708,4181,92.7503,0.0340,0.0010,32.5736,NaN,NaN,NaN,NaN,18.2250,427.0900,936.2220,0.2060,NaN,NaN,NaN,NaN,NaN,32.5415,NaN,NaN,8.42807,NaN,NaN,46.3622,NaN,NaN,841.164,NaN
2,0,1,0,1,1,1,1,0,16,16,16,NaN,772.73,NaN,40.4047,12.7594,6716,3753,93.2394,0.0330,0.0010,32.3549,NaN,NaN,NaN,NaN,18.4170,422.3990,950.9530,0.2080,NaN,NaN,NaN,NaN,NaN,32.3241,NaN,NaN,7.37956,NaN,NaN,46.0432,NaN,NaN,826.153,NaN
3,0,1,0,1,1,1,1,0,16,16,16,NaN,785.743,NaN,41.5736,12.6188,6714,3820,92.9410,0.0330,0.0010,32.7195,NaN,NaN,NaN,NaN,18.1090,427.2630,967.7970,0.2060,NaN,NaN,NaN,NaN,NaN,32.6893,NaN,NaN,7.51519,NaN,NaN,46.4193,NaN,NaN,839.677,NaN
1,0,0,1,1,1,1,1,0,16,16,16,NaN,NaN,347.343,18.6358,12.3281,6100,585,99.1540,0.0460,0.0010,21.7998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5430,278.4460,283.1000,0.1970,NaN,NaN,21.7867,NaN,NaN,6.95174,NaN,NaN,0.193114,NaN,NaN,354.488
2,0,0,1,1,1,1,1,0,16,16,16,NaN,NaN,347.069,17.7693,12.2648,6094,600,99.1565,0.0460,0.0010,21.8013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5410,278.6760,283.2130,0.2050,NaN,NaN,21.7882,NaN,NaN,7.0749,NaN,NaN,0.18888,NaN,NaN,354.332
3,0,0,1,1,1,1,1,0,16,16,16,NaN,NaN,346.797,17.7365,12.3358,6080,635,99.1635,0.0460,0.0010,21.8104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5320,278.7990,283.3860,0.1980,NaN,NaN,21.7966,NaN,NaN,7.44712,NaN,NaN,0.188038,NaN,NaN,354.432
1,1,1,0,1,1,1,1,0,16,16,16,1064.22,918.247,NaN,25.8749,13.0532,9566,4842,95.5159,19.7750,0.0010,57.498,9.8540,33.9230,43.7360,0.5840,9.8880,48.0410,210.5010,0.6210,NaN,NaN,NaN,NaN,57.4339,57.4652,NaN,8.18715,7.4283,NaN,0.0114819,48.2616,NaN,1072.42,973.937,NaN
